subject,link,goal
Parfum,suivant,Entre_tes_mains
Entre_tes_mains,suivant,Masiya_azali_lisekua
Sa_main_nous_touche,suivant,Divine_Amour
Divine_Amour,suivant,Je_lève_mes_yeux
Jésus_nous_te_couronnons,suivant,Jésus_nous_élevons_ton_nom_plus_haut
Jésus_nous_élevons_ton_nom_plus_haut,suivant,De_gloire_en_gloire
De_gloire_en_gloire,suivant,Emmanuel
Emmanuel,suivant,Emmanuel
Ta_présence,suivant,Yahwe_biso_tobelemi
Yahwe_biso_tobelemi,suivant,Likolo_na_se
Majesté,suivant,De_gloire_en_gloire
De_gloire_en_gloire,suivant,Plus_haut
Plus_haut,suivant,Yeshoua
Yeshoua,suivant,Mon_coeur_adore
Mon_coeur_adore,suivant,Tout_genoux_flechissent
Tout_genoux_flechissent,suivant,Yeshoua
Dieu_est_fidèle,suivant,Yahwe_na_ye_kokumamela_ye
Yahwe_na_ye_kokumamela_ye,suivant,Masiya_azali_lisekua
Mon_seul_ami,suivant,Alleluia
Reçois_de_moi,suivant,Reçois_l_adoration
Reçois_l_adoration,suivant,Likolo_na_se
Likolo_na_se,suivant,Tout_honneur
Tout_honneur,suivant,Je_veux_exprimer
Posa_na_yo,suivant,Même_si_le_monde_
Jésus_le_prince_glorieux,suivant,Dieu_est_fidèle
Yahwe_na_ye_kokumamela_ye,suivant,Un_jour_je_sais
Un_jour_je_sais,suivant,Il_y_a_une_puissance_dans_le_nom_de_Jésus
Na_pesi_nioso_na_yo,suivant,Sa_main_nous_touche
Sa_main_nous_touche,suivant,Eliya
Eliya,suivant,Il_y_a_une_puissance_dans_le_nom_de_Jésus
Jésus_nous_te_couronnons,suivant,Nous_élevons_ton_Nom_plus_haut
Nous_élevons_ton_Nom_plus_haut,suivant,Que_tes_vives_eaux
Que_tes_vives_eaux,suivant,Le_nom_de_Jésus
Le_nom_de_Jésus,suivant,Tu_es_Emmanuel
Tu_es_Emmanuel,suivant,Nzambe_oyo_andiye
Pona_yesuet_air_que_je_respire,suivant,Pona_yesu
Pona_yesu,suivant,Masiya_azali_lisekua
Masiya_azali_lisekua,suivant,Je_veux_exprimer
Je_veux_exprimer,suivant,Alpha_Oméga
Alpha_Oméga,suivant,Tu_es_Emmanuel
Tu_es_Emmanuel,suivant,Je_reconnais
Je_reconnais,suivant,Dieu_est_fidèle
Il_est_bon_de_louer_Dieu,suivant,Nzambe_na_ngai_nabeleliyo_lelo
Nzambe_na_ngai_nabeleliyo_lelo,suivant,Igwe
Oza_malamu,suivant,Oza_mosantu
Oza_mosantu,suivant,Dans_les_cieux_nous_chanterons
Dans_les_cieux_nous_chanterons,suivant,Tu_es_Emmanuel
Dans_les_cieux_nous_chanterons,suivant,Quand_je_contemple_ta_sainteté
Quand_je_contemple_ta_sainteté,suivant,Mon_âme_soupir
Mon_âme_soupir,suivant,Yahwe_na_ye_kokumamela_ye
Yahwe_na_ye_kokumamela_ye,suivant,Oza_malamu
Tu_es_mon_Dieu,suivant,Il_est_vivant_Jésus
Il_est_vivant_Jésus,suivant,Jehova_est_son_nom
Jehova_est_son_nom,suivant,Nkolo_Yesu_ozali_nzambe
Nkolo_Yesu_ozali_nzambe,suivant,Moko_te
Moko_te,suivant,Na_mona_yo_oh_Yesu
Na_mona_yo_oh_Yesu,suivant,Je_veux_exprimer
Ton_nom_est_si_merveilleux,suivant,Il_est_vivant_Jésus
Il_est_vivant_Jésus,suivant,Alleluia
Mon_âme_soupir,suivant,Il_a_promis
Il_a_promis,suivant,Mon_âme_béni_l_Eternel
Mon_âme_béni_l_Eternel,suivant,Mon_coeur_me_pousse_à_te_dire_que_tu_es_le_Dieu_de_ma_vie
Il_est_le_même,suivant,Je_veux_chanter_pour_Jésus
Je_veux_chanter_pour_Jésus,suivant,L_heure_de_la_victoire
Ton_nom_est_infiniment_grand,suivant,Dieu_tout_puissant
Dieu_tout_puissant,suivant,Roi_de_mon_salut
Dieu_de_gloire,suivant,Majesté
Majesté,suivant,Masiya_azali_lisekua
Tu_es_digne_de_gloire,suivant,De_gloire_en_gloire
De_gloire_en_gloire,suivant,Gloire_à_l_agneau
Gloire_à_l_agneau,suivant,Sa_main_nous_touche
Sa_main_nous_touche,suivant,Abrite_moi
La_joie_du_Seigneur,suivant,Jésus_a_marché
Jésus_a_marché,suivant,Eh_mon_Dieu_mon_Roi
Posa_na_yo,suivant,Dans_mon_parcours
Likolo_na_se,suivant,Je_veux_exprimer
Je_veux_exprimer,suivant,Le_nom_de_Jésus
Dans_mon_parcours,suivant,Likolo_na_se
Likolo_na_se,suivant,Le_nom_de_Jésus
Le_nom_de_Jésus,suivant,Je_veux_exprimer
Je_veux_exprimer,suivant,Roi_de_mon_salut
Obongi_na_nkembo,suivant,Eh_mon_Dieu_mon_Roi
Je_lève_mes_yeux,suivant,Tu_es_digne_de_gloire
Tu_es_digne_de_gloire,suivant,Dieu_de_gloire
Dieu_de_gloire,suivant,Gloire_à_l_agneau
Gloire_à_l_agneau,suivant,Alpha_Oméga
Alpha_Oméga,suivant,Entre_tes_mains
Likolo_na_se,suivant,Jéhovah_est_son_nom
Jéhovah_est_son_nom,suivant,Mon_âme_soupir
Le_nom_de_Jésus,suivant,Au_dessus_de_tout
Au_dessus_de_tout,suivant,Tout_honneur
Tout_honneur,suivant,À_jamais
À_jamais,suivant,Nzambe_monene
Nzambe_monene,suivant,Alpha_Oméga
Emmanuel,suivant,Plus_près_de_toi
Plus_près_de_toi,suivant,Je_veux_exprimer
Je_veux_exprimer,suivant,Jésus_nous_te_couronnons
Nous_nous_prosternons,suivant,Na_likolo
