A,B,C,D,E
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,De_gloire_en_gloire,Emmanuel
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,De_gloire_en_gloire,Fais_moi_monter
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,De_gloire_en_gloire,Gloire_à_l_agneau
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,De_gloire_en_gloire,Je_reconnais
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,De_gloire_en_gloire,Majesté
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,De_gloire_en_gloire,Plus_haut
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,De_gloire_en_gloire,Que_ta_présence_en_moi
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,Gloire_à_l_agneau,Alpha_Oméga
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,Gloire_à_l_agneau,Oui_je_le_vois
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,Gloire_à_l_agneau,Parfum
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,Gloire_à_l_agneau,Sa_main_nous_touche
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,Gloire_à_l_agneau,Tu_es_Yahwe
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,Mon_âme_soupir,Il_a_promis
Oza_mosantu,Dans_les_cieux_nous_chanterons,Quand_je_contemple_ta_sainteté,Mon_âme_soupir,Yahwe_na_ye_kokumamela_ye
Oza_mosantu,Dans_les_cieux_nous_chanterons,Tu_es_Emmanuel,Je_reconnais,Car_il_est_glorieux
Oza_mosantu,Dans_les_cieux_nous_chanterons,Tu_es_Emmanuel,Je_reconnais,Dieu_est_fidèle
Oza_mosantu,Dans_les_cieux_nous_chanterons,Tu_es_Emmanuel,Je_reconnais,Gloire_à_l_agneau
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Alpha_Oméga,Entre_tes_mains
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Alpha_Oméga,Tu_es_Emmanuel
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Alpha_Oméga,Tu_es_digne
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Oui_je_le_vois,Dans_les_cieux
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Oui_je_le_vois,De_gloire_en_gloire
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Oui_je_le_vois,Ouvres_les_écluses_des_cieux
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Oui_je_le_vois,Rien_n_est_égal
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Parfum,Entre_tes_mains
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Parfum,Tu_es_digne
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Sa_main_nous_touche,Oui_je_le_vois
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Sa_main_nous_touche,Ouvres_les_écluses_des_cieux
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Tu_es_Yahwe,Emmanuel
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Tu_es_Yahwe,Il_s_appelle_Emmanuel
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Tu_es_Yahwe,Le_nom_de_Jésus
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Tu_es_Yahwe,Mon_coeur_me_pousse_à_te_dire_que_tu_es_le_Dieu_de_ma_vie
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau,Tu_es_Yahwe,Parfum
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Je_ramène_mon_coeur_au_trône,Il_y_a_une_puissance_dans_le_nom_de_Jésus,Père_nous_t_adorons
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Je_ramène_mon_coeur_au_trône,J_entre_dans_le_saint_des_saints,Masiya_azali_lisekua
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Je_ramène_mon_coeur_au_trône,Je_me_livre_totalement,Nous_nous_prosternons
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Je_ramène_mon_coeur_au_trône,Je_t_aime_tu_le_sais,T_adorer
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Je_ramène_mon_coeur_au_trône,Le_nom_de_Jésus,Au_dessus_de_tout
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Je_ramène_mon_coeur_au_trône,Le_nom_de_Jésus,Je_veux_exprimer
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Je_ramène_mon_coeur_au_trône,Le_nom_de_Jésus,Roi_de_mon_salut
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Je_ramène_mon_coeur_au_trône,Le_nom_de_Jésus,Tu_es_Emmanuel
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Gloire_à_l_agneau
Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Je_ramène_mon_coeur_au_trône,Père_nous_t_adorons,Je_ramène_mon_coeur_au_trône
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,C_est_pourquoi,Eh_eh_mon_Dieu_mon_Roi,L_heure_de_la_victoire
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,C_est_pourquoi,Emmanuel,Emmanuel
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,C_est_pourquoi,Emmanuel,Emmanuel_est_là
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,C_est_pourquoi,Emmanuel,Je_veux_t_adorer
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,C_est_pourquoi,Emmanuel,Majesté
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,C_est_pourquoi,Emmanuel,Plus_près_de_toi
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,C_est_pourquoi,Emmanuel,Quand_je_contemple_ta_sainteté
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,C_est_pourquoi,Emmanuel,Rien_n_est_égal
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,Il_est_le_même,C_est_pourquoi,Eh_eh_mon_Dieu_mon_Roi
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,Il_est_le_même,C_est_pourquoi,Emmanuel
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,Il_est_le_même,Il_est_vivant_Jésus,Alleluia
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,Il_est_le_même,Il_est_vivant_Jésus,Alleluia_hosanna
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,Il_est_le_même,Il_est_vivant_Jésus,Jehova_est_son_nom
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,Il_est_le_même,Il_est_vivant_Jésus,Pour_cet_immense_bohneur
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,Il_est_le_même,Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,Il_est_le_même,La_joie_du_Seigneur,Jésus_a_marché
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,Il_est_le_même,La_joie_du_Seigneur,Si_je_rappelle_à_Dieu
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,Il_est_le_même,Tu_es_le_Dieu_des_miracles,Jehova
Je_veux_chanter_pour_Jésus,L_heure_de_la_victoire,Il_est_le_même,Tu_es_le_Dieu_des_miracles,L_heure_de_la_victoire
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Au_dessus_de_tout,Dieu_est_fidèle
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Au_dessus_de_tout,Jésus_nous_te_couronnons
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Au_dessus_de_tout,Seigneur_tu_es_plus_précieux
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Au_dessus_de_tout,Tout_honneur
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Je_veux_exprimer,Alpha_Oméga
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Je_veux_exprimer,Je_t_aime_tu_le_sais
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Je_veux_exprimer,Jésus_nous_te_couronnons
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Je_veux_exprimer,L_amour_est_une_personne
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Je_veux_exprimer,Le_nom_de_Jésus
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Je_veux_exprimer,Roi_de_mon_salut
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Roi_de_mon_salut,Dans_les_cieux
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Roi_de_mon_salut,Masiya_azali_lisekua
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Roi_de_mon_salut,Nzambe_monene
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Roi_de_mon_salut,Revetu_de_gloire
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Roi_de_mon_salut,Tout_genoux_flechissent
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Roi_de_mon_salut,Tout_genoux_fléchissent
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Roi_de_mon_salut,jamais
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Tu_es_Emmanuel,Je_reconnais
Roi_de_mon_salut,Tout_genoux_flechissent,Le_nom_de_Jésus,Tu_es_Emmanuel,Nzambe_oyo_andiye
Roi_de_mon_salut,Tout_genoux_flechissent,Yeshoua,Mon_coeur_adore,Tout_genoux_flechissent
Jésus_nous_te_couronnons,Nous_élevons_ton_Nom_plus_haut,Que_tes_vives_eaux,Le_nom_de_Jésus,Au_dessus_de_tout
Jésus_nous_te_couronnons,Nous_élevons_ton_Nom_plus_haut,Que_tes_vives_eaux,Le_nom_de_Jésus,Je_veux_exprimer
Jésus_nous_te_couronnons,Nous_élevons_ton_Nom_plus_haut,Que_tes_vives_eaux,Le_nom_de_Jésus,Roi_de_mon_salut
Jésus_nous_te_couronnons,Nous_élevons_ton_Nom_plus_haut,Que_tes_vives_eaux,Le_nom_de_Jésus,Tu_es_Emmanuel
Tu_es_Yahwe,Parfum,Entre_tes_mains,Masiya_azali_lisekua,Alleluia_eh
Tu_es_Yahwe,Parfum,Entre_tes_mains,Masiya_azali_lisekua,Alléluia
Tu_es_Yahwe,Parfum,Entre_tes_mains,Masiya_azali_lisekua,Dignes_es_tu
